src_ip,dest_ip,dest_port,dest_port_weight
149.254.197.224,120.130.163.86,10766,100
149.254.197.224,120.130.163.135,20898,100
149.254.197.224,120.130.163.214,42258,100
149.254.197.224,120.130.163.214,40299,100
149.254.197.224,120.130.163.214,58304,100
149.254.197.224,120.130.163.98,15677,100
149.254.197.224,120.130.163.98,38120,100
149.254.197.224,120.130.163.98,7835,100
149.254.197.224,120.130.163.11,48734,100
149.254.197.224,120.130.163.198,32387,100
149.254.197.224,149.254.197.103,16958,100
149.254.197.224,149.254.197.178,11149,100
149.254.197.224,149.254.197.22,31945,100
149.254.197.224,149.254.197.36,22148,100
149.254.197.224,149.254.197.36,9398,100
149.254.197.75,120.130.163.86,64126,100
149.254.197.75,120.130.163.135,36259,100
149.254.197.75,120.130.163.214,45996,100
149.254.197.75,120.130.163.98,52379,100
149.254.197.75,120.130.163.11,64976,100
149.254.197.75,120.130.163.198,24384,100
149.254.197.75,149.254.197.103,51444,100
149.254.197.75,149.254.197.36,26577,100
149.254.197.75,149.254.197.36,25322,100
149.254.197.181,120.130.163.11,33392,100
149.254.197.181,120.130.163.11,21052,100
149.254.197.181,120.130.163.11,21379,10
149.254.197.181,120.130.163.11,31873,100
149.254.197.181,120.130.163.11,19549,100
149.254.197.181,120.130.163.198,64162,100
149.254.197.181,120.130.163.198,33854,100
149.254.197.181,120.130.163.198,8766,100
149.254.197.181,120.130.163.198,38970,10
149.254.197.181,120.130.163.198,40476,100
149.254.197.181,120.130.163.198,55366,100
149.254.197.181,149.254.197.239,51732,100
149.254.197.181,149.254.197.112,19933,100
149.254.197.181,149.254.197.51,25542,100
149.254.197.181,149.254.197.7,58422,100
149.254.197.181,149.254.197.169,4887,100
149.254.197.181,187.10.193.43,51561,100
149.254.197.181,149.254.197.36,38473,100
149.254.197.181,149.254.197.36,48397,100
149.254.197.181,149.254.197.198,42941,100
149.254.197.181,149.254.197.26,52331,100
149.254.197.181,149.254.197.27,15712,100
149.254.197.181,149.254.197.169,3869,100
149.254.197.200,120.130.163.11,42180,100
149.254.197.200,120.130.163.11,25906,100
149.254.197.200,120.130.163.11,4703,10
149.254.197.200,120.130.163.11,56974,100
149.254.197.200,120.130.163.11,44677,100
149.254.197.200,120.130.163.198,57287,100
149.254.197.200,120.130.163.198,11269,100
149.254.197.200,120.130.163.198,41961,100
149.254.197.200,120.130.163.198,43648,10
149.254.197.200,120.130.163.198,6720,100
149.254.197.200,149.254.197.103,60448,100
